ColorOrder,DegreeAtDel,Section
1,0,92
2,1,89
3,2,62
4,3,29
5,4,16
6,5,10
7,6,107
8,7,25
9,8,52
10,9,41
11,10,35
12,11,18
13,12,4
14,13,103
15,14,97
16,15,78
17,16,77
18,17,48
19,18,47
20,19,28
21,20,105
22,21,93
23,22,71
24,23,57
25,24,50
26,25,39
27,26,27
28,27,102
29,28,91
30,29,87
31,30,81
32,31,76
33,32,74
34,33,73
35,34,65
36,35,34
37,36,14
38,37,12
39,38,6
40,39,2
41,40,45
42,41,43
43,42,21
44,43,20
45,44,8
46,23,63
47,24,37
48,25,95
49,26,30
50,27,72
51,28,56
52,29,80
53,30,66
54,31,9
55,29,23
56,30,84
57,31,69
58,32,61
59,33,60
60,34,79
61,35,64
62,33,106
63,34,96
64,35,44
65,30,82
66,31,36
67,32,31
68,33,86
69,34,24
70,35,26
71,33,59
72,34,32
73,35,67
74,36,49
75,37,22
76,38,98
77,39,75
78,40,58
79,41,51
80,33,90
81,34,85
82,31,108
83,32,104
84,33,55
85,34,54
86,35,46
87,36,17
88,37,15
89,38,3
90,35,33
91,36,38
92,37,70
93,36,99
94,37,40
95,37,5
96,38,100
97,39,11
98,38,53
99,39,7
100,38,101
101,38,68
102,34,42
103,32,83
104,21,13
105,22,1
106,22,109
107,23,88
108,24,19
109,21,94